,arg1,arg2,verb,sentence,verb_idx,label,new_column
0,knowledge,,absorb, He absorbed the knowledge or beliefs of his tribe .,1,1,"[(' ', 'SPACE'), ('He', 'PRON'), ('absorbed', 'VERB'), ('the', 'DET'), ('knowledge', 'NOUN'), ('or', 'CCONJ'), ('beliefs', 'NOUN'), ('of', 'ADP'), ('his', 'PRON'), ('tribe', 'NOUN'), ('.', 'PUNCT')]"
1,cost,,absorb, He absorbed the costs for the accident .,1,1,"[(' ', 'SPACE'), ('He', 'PRON'), ('absorbed', 'VERB'), ('the', 'DET'), ('costs', 'NOUN'), ('for', 'ADP'), ('the', 'DET'), ('accident', 'NOUN'), ('.', 'PUNCT')]"
2,tax,,absorb, The sales tax is absorbed into the state income tax .,4,1,"[(' ', 'SPACE'), ('The', 'DET'), ('sales', 'NOUN'), ('tax', 'NOUN'), ('is', 'AUX'), ('absorbed', 'VERB'), ('into', 'ADP'), ('the', 'DET'), ('state', 'NOUN'), ('income', 'NOUN'), ('tax', 'NOUN'), ('.', 'PUNCT')]"
3,immigrant,,absorb, The immigrants were quickly absorbed into society .,4,1,"[(' ', 'SPACE'), ('The', 'DET'), ('immigrants', 'NOUN'), ('were', 'AUX'), ('quickly', 'ADV'), ('absorbed', 'VERB'), ('into', 'ADP'), ('society', 'NOUN'), ('.', 'PUNCT')]"
4,interest,,absorb, Her interest in butterflies absorbs her completely .,4,1,"[(' ', 'SPACE'), ('Her', 'PRON'), ('interest', 'NOUN'), ('in', 'ADP'), ('butterflies', 'NOUN'), ('absorbs', 'VERB'), ('her', 'PRON'), ('completely', 'ADV'), ('.', 'PUNCT')]"
5,workers,,abuse, This boss abuses his workers .,2,0,"[(' ', 'SPACE'), ('This', 'DET'), ('boss', 'NOUN'), ('abuses', 'VERB'), ('his', 'PRON'), ('workers', 'NOUN'), ('.', 'PUNCT')]"
6,system,,abuse, Do n't abuse the system .,2,1,"[(' ', 'SPACE'), ('Do', 'AUX'), (""n't"", 'PART'), ('abuse', 'VERB'), ('the', 'DET'), ('system', 'NOUN'), ('.', 'PUNCT')]"
7,policeman,,abuse, The actress abused the policeman who gave her a parking ticket .,2,0,"[(' ', 'SPACE'), ('The', 'DET'), ('actress', 'NOUN'), ('abused', 'VERB'), ('the', 'DET'), ('policeman', 'NOUN'), ('who', 'PRON'), ('gave', 'VERB'), ('her', 'PRON'), ('a', 'DET'), ('parking', 'NOUN'), ('ticket', 'NOUN'), ('.', 'PUNCT')]"
8,alcohol,,abuse, Her husband often abuses alcohol .,3,1,"[(' ', 'SPACE'), ('Her', 'PRON'), ('husband', 'NOUN'), ('often', 'ADV'), ('abuses', 'VERB'), ('alcohol', 'NOUN'), ('.', 'PUNCT')]"
9,guest,,accommodate, This hotel can accommodate 250 guests .,3,0,"[(' ', 'SPACE'), ('This', 'DET'), ('hotel', 'NOUN'), ('can', 'AUX'), ('accommodate', 'VERB'), ('250', 'NUM'), ('guests', 'NOUN'), ('.', 'PUNCT')]"
