index	sentence	Sources	Source_Index	Targets	Target_Index	metaphoricity_score	new_sentences
0	Thank Lyndon Johnson, his Great Society, and the War on Poverty.	War	8	Poverty	10	3.0	War has property bad. Thank Lyndon Johnson, his Great Society, and the War on Poverty.
9	This prison is the prison of poverty.	prison	4	poverty	6	3.0	prison has property bad. This prison is the prison of poverty.
10	As to the Deuteronomy passage, there is a punishment of poverty upon godlessness and rebellion against God - that is indeed still true today.	punishment	8	poverty	10	3.0	punishment has property bad. As to the Deuteronomy passage, there is a punishment of poverty upon godlessness and rebellion against God - that is indeed still true today.
11	"""I never imagined I'd be put in jail for taking people out of their jail of poverty and starvation,"" he said."	jail	14	poverty	16	3.0	"jail has property bad. ""I never imagined I'd be put in jail for taking people out of their jail of poverty and starvation,"" he said."
17	The tax gestapo is coming.	gestapo	2	tax	1	3.0	gestapo has property bad. The tax gestapo is coming.
18	"p.s., I'm not the only one that believes that ""public safety"" is being used as a back-seat excuse for our Cities'/Counties' enhancement of traffic citation revenue as the new tax panacea. http://hjta.org/california-commentary/more-devilish-legislation-out-sacramento"	panacea	30	tax	29	3.0	"panacea has property addictive. p.s., I'm not the only one that believes that ""public safety"" is being used as a back-seat excuse for our Cities'/Counties' enhancement of traffic citation revenue as the new tax panacea. http://hjta.org/california-commentary/more-devilish-legislation-out-sacramento"
19	Business crushing taxes, special-interest pandering regulations, and taxes on wage earners.	crushing	1	taxes	7	3.0	crushing has property bad. Business crushing taxes, special-interest pandering regulations, and taxes on wage earners.
30	Second Your Arhuing that if America Wantstovote emotionally to FRG us back 100 years in time,we should.Why I may ask,do you want to return to failed tariff wars and anti globalist great depression policies that ruined nearly every economy in the Western world????Do you realize no economy can be on top by producing and selling to itself,Infact those countries are almost always the poorest countries with the lowest standard of living.	wars	27	tariff	26	3.0	wars has property bad. Second Your Arhuing that if America Wantstovote emotionally to FRG us back 100 years in time,we should.Why I may ask,do you want to return to failed tariff wars and anti globalist great depression policies that ruined nearly every economy in the Western world????Do you realize no economy can be on top by producing and selling to itself,Infact those countries are almost always the poorest countries with the lowest standard of living.
35	"What of the cost of the ongoing and past ""wars"" on poverty and drugs?"	wars	9	poverty	11	3.0	"wars has property bad. What of the cost of the ongoing and past ""wars"" on poverty and drugs?"
68	Erecting tariffs and penalties to protect jobs is about as effective as early man throwing spears at the comet to change its course.	Erecting	0	tariffs	1	3.0	Erecting has property fun. Erecting tariffs and penalties to protect jobs is about as effective as early man throwing spears at the comet to change its course.
